time,max_creep_strain,max_plas_strain,max_y_disp,min_creep_strain,min_plas_strain,react_y
2.1805257142506,0.00051303033183539,0.00069083278455115,3.3363820994738e-05,1.1538407433755e-07,-4.6170895573051e-07,-197.14821042984
2.3055257142506,0.00053968272334815,0.00070992724362828,3.3569680535201e-05,1.2158575711525e-07,-4.6170895573051e-07,-197.24204163256
2.3680257142506,0.00055283163640335,0.0007115452288759,3.3628875629207e-05,1.2468175930346e-07,-4.6170895573051e-07,-197.70025378236
2.4930257142506,0.00057846181450935,0.00072768215891412,3.381492760887e-05,1.3065077879648e-07,-4.6170895573051e-07,-196.98371967701
2.5555257142506,0.00059111904405991,0.00072876467277431,3.3878825678901e-05,1.3363175688072e-07,-4.6170895573051e-07,-197.60894349847
2.6805257142506,0.00061583637890747,0.00074564132824407,3.407874486739e-05,1.3941213640919e-07,-4.6170895573051e-07,-197.00187746725
2.7430257142506,0.00062805327426287,0.00074691336372336,3.4141415684523e-05,1.4230442208979e-07,-4.6170895573051e-07,-197.66136663351
2.8680257142506,0.00065194886193513,0.00076201055543583,3.4339431964552e-05,1.4791490640107e-07,-4.6170895573051e-07,-197.01509948346
2.9930257142506,0.00067534018676336,0.00077182047007009,3.4492175008264e-05,1.5345142570265e-07,-4.6170895573051e-07,-197.51898369462
3.1180257142506,0.00069825763220602,0.00078299417515042,3.4645253442787e-05,1.5886934451283e-07,-4.6170895573051e-07,-197.28184494566
3.2430257142506,0.0007207289985,0.00079410982898874,3.4805040205414e-05,1.6420436466142e-07,-4.6170895573051e-07,-197.40063730583
3.3680257142506,0.00074277932230278,0.00080566925165827,3.4964614699048e-05,1.694559788222e-07,-4.6170895573051e-07,-197.41872734155
3.4930257142506,0.00076443143559355,0.00081757264161787,3.5122724941146e-05,1.7463452408024e-07,-4.6170895573051e-07,-197.51250203864
3.6180257142506,0.00078570591159754,0.00081994456402235,3.5221370129989e-05,1.7972419580356e-07,-4.6170895573051e-07,-197.47635148415
3.7430257142506,0.0008066218761122,0.00082980484960534,3.5367392695798e-05,1.846896944675e-07,-4.6170895573051e-07,-197.03670621757
3.8055257142506,0.00081699346984075,0.00083111452489539,3.5426380594774e-05,1.8720174430982e-07,-4.6170895573051e-07,-197.63454755785
3.9305257142506,0.00083740462254412,0.00084306279947015,3.5600773775878e-05,1.9207741643059e-07,-4.6170895573051e-07,-197.08880177102
4.1805257142506,0.00087698715336303,0.00086523600195043,3.5885907012355e-05,2.0158914002318e-07,-4.6170895573051e-07,-196.98524081069
4.3055257142506,0.00089648452310958,0.00086546601454669,3.5983122511511e-05,2.0630426164057e-07,-4.6170895573051e-07,-197.53388242983
4.4305257142506,0.00091570907467352,0.00087295635343831,3.6123188101014e-05,2.109333713917e-07,-4.6170895573051e-07,-197.15273461237
4.5555257142506,0.00093466797298188,0.0008797027862333,3.6243846401367e-05,2.1556033982895e-07,-4.6170895573051e-07,-197.65807094925
4.6805257142506,0.00095337172575615,0.00088330463488652,3.6353905864249e-05,2.2009301403426e-07,-4.6170895573051e-07,-197.26378019441
4.8055257142506,0.00097183087007593,0.0008941899073465,3.6511799540227e-05,2.2461761219454e-07,-4.6170895573051e-07,-197.63810546108
4.9305257142506,0.00099005466072551,0.0008988161417036,3.6632727227668e-05,2.2907961645688e-07,-4.6170895573051e-07,-197.57495312519
5.1805257142506,0.0010256120638136,0.00090983090463819,3.6849135734865e-05,2.3769779883018e-07,-4.6170895573051e-07,-196.73062273733
5.3055257142506,0.0010431801861406,0.00091144630030934,3.696651286815e-05,2.4202042654279e-07,-4.6170895573051e-07,-197.7080496615
5.4305257142506,0.0010605440094263,0.00091444911916673,3.7067186880665e-05,2.4629770642891e-07,-4.6170895573051e-07,-197.35274026051
5.6805257142506,0.0010944999842571,0.00093020103542451,3.7320432014009e-05,2.5461951657681e-07,-4.6170895573051e-07,-196.79964682865
5.8055257142506,0.0011112944538352,0.00093141099866765,3.7426869594533e-05,2.5878415717513e-07,-4.6170895573051e-07,-197.72420743588
6.0555257142506,0.0011441823632229,0.00094398501842936,3.7644335460114e-05,2.6686555764866e-07,-4.6170895573051e-07,-196.82169290006
6.1805257142506,0.0011604593991012,0.00094703797914178,3.7768868980451e-05,2.7094001440613e-07,-4.6170895573051e-07,-197.93946999761
6.4305257142506,0.0011923739559201,0.00096188459821055,3.7987191056769e-05,2.788539238955e-07,-4.6170895573051e-07,-197.01855180837
6.6805257142506,0.0012236859816517,0.00097247326721223,3.8189937977537e-05,2.8662680912304e-07,-4.6170895573051e-07,-197.16871482424
6.9305257142506,0.0012544279513753,0.00098391628755638,3.8392029777606e-05,2.9426142351517e-07,-4.6170895573051e-07,-197.07437042604
7.1805257142506,0.0012846299899491,0.00099665803935705,3.8609513911735e-05,3.0179817316225e-07,-4.6170895573051e-07,-197.13747555577
7.4305257142506,0.0013143195771923,0.0010100381217688,3.8822896912904e-05,3.0924566841872e-07,-4.6170895573051e-07,-197.2554037223
7.6805257142506,0.0013435218712413,0.0010238784990496,3.9033016801899e-05,3.1660757416785e-07,-4.6170895573051e-07,-197.33438755377
